date,city,cases,country
2021-06-28,Winnipeg,28,Canada
2021-06-29,Winnipeg,26,Canada
2021-06-30,Winnipeg,48,Canada
2021-07-01,Winnipeg,19,Canada
2021-07-02,Winnipeg,30,Canada
2021-07-03,Winnipeg,29,Canada
2021-07-04,Winnipeg,41,Canada
2021-07-05,Winnipeg,27,Canada
2021-07-06,Winnipeg,33,Canada
2021-07-07,Winnipeg,29,Canada
2021-07-08,Winnipeg,31,Canada
2021-07-09,Winnipeg,29,Canada
2021-07-10,Winnipeg,33,Canada
2021-07-11,Winnipeg,21,Canada
2021-07-12,Winnipeg,11,Canada
2021-07-13,Winnipeg,27,Canada
2021-07-14,Winnipeg,13,Canada
2021-07-15,Winnipeg,15,Canada
2021-07-16,Winnipeg,28,Canada
2021-07-17,Winnipeg,27,Canada
2021-07-18,Winnipeg,12,Canada
2021-07-19,Winnipeg,8,Canada
2021-07-20,Winnipeg,12,Canada
2021-07-21,Winnipeg,18,Canada
2021-07-22,Winnipeg,11,Canada
2021-07-23,Winnipeg,14,Canada
2021-07-24,Winnipeg,1,Canada
2021-07-25,Winnipeg,8,Canada
2021-07-26,Winnipeg,4,Canada
2021-07-27,Winnipeg,6,Canada
2021-07-28,Winnipeg,14,Canada
2021-07-29,Winnipeg,12,Canada
2021-07-30,Winnipeg,7,Canada
2021-07-31,Winnipeg,12,Canada
2021-08-01,Winnipeg,15,Canada
2021-08-02,Winnipeg,14,Canada
2021-08-03,Winnipeg,6,Canada
2021-08-04,Winnipeg,11,Canada
2021-08-05,Winnipeg,7,Canada
2021-08-06,Winnipeg,11,Canada
2021-08-07,Winnipeg,20,Canada
2021-08-08,Winnipeg,5,Canada
2021-08-09,Winnipeg,13,Canada
2021-08-10,Winnipeg,13,Canada
2021-08-11,Winnipeg,12,Canada
2021-08-12,Winnipeg,11,Canada
2021-08-13,Winnipeg,10,Canada
2021-08-14,Winnipeg,10,Canada
2021-08-15,Winnipeg,22,Canada
2021-08-16,Winnipeg,5,Canada
