date,city,cases,country
2021-08-16,San Martin,21,Peru
2021-08-17,San Martin,20,Peru
2021-08-18,San Martin,18,Peru
2021-08-19,San Martin,13,Peru
2021-08-20,San Martin,10,Peru
2021-08-21,San Martin,11,Peru
2021-08-22,San Martin,10,Peru
2021-08-23,San Martin,36,Peru
2021-08-24,San Martin,13,Peru
2021-08-25,San Martin,11,Peru
2021-08-26,San Martin,15,Peru
2021-08-27,San Martin,16,Peru
2021-08-28,San Martin,15,Peru
2021-08-29,San Martin,6,Peru
2021-08-30,San Martin,9,Peru
2021-08-31,San Martin,22,Peru
2021-09-01,San Martin,17,Peru
2021-09-02,San Martin,24,Peru
2021-09-03,San Martin,7,Peru
2021-09-04,San Martin,5,Peru
2021-09-05,San Martin,2,Peru
2021-09-06,San Martin,12,Peru
2021-09-07,San Martin,10,Peru
2021-09-08,San Martin,16,Peru
2021-09-09,San Martin,9,Peru
2021-09-10,San Martin,15,Peru
2021-09-11,San Martin,13,Peru
2021-09-12,San Martin,6,Peru
2021-09-13,San Martin,11,Peru
2021-09-14,San Martin,20,Peru
2021-09-15,San Martin,17,Peru
2021-09-16,San Martin,14,Peru
2021-09-17,San Martin,15,Peru
2021-09-18,San Martin,13,Peru
2021-09-19,San Martin,0,Peru
2021-09-20,San Martin,16,Peru
2021-09-21,San Martin,15,Peru
2021-09-22,San Martin,11,Peru
2021-09-23,San Martin,23,Peru
2021-09-24,San Martin,19,Peru
2021-09-25,San Martin,20,Peru
2021-09-26,San Martin,5,Peru
2021-09-27,San Martin,7,Peru
2021-09-28,San Martin,12,Peru
2021-09-29,San Martin,15,Peru
2021-09-30,San Martin,12,Peru
2021-10-01,San Martin,11,Peru
2021-10-02,San Martin,14,Peru
2021-10-03,San Martin,2,Peru
2021-10-04,San Martin,10,Peru
2021-10-05,San Martin,25,Peru
2021-10-06,San Martin,6,Peru
2021-10-07,San Martin,11,Peru
2021-10-08,San Martin,3,Peru
2021-10-09,San Martin,12,Peru
2021-10-10,San Martin,5,Peru
2021-10-11,San Martin,7,Peru
2021-10-12,San Martin,14,Peru
2021-10-13,San Martin,7,Peru
2021-10-14,San Martin,6,Peru
2021-10-15,San Martin,4,Peru
2021-10-16,San Martin,3,Peru
