"regionname","date","cases"
"Victoria",2020-03-31,917
"Western Australia",2020-03-31,364
"Australian Capital Territory",2020-04-01,84
"New South Wales",2020-04-01,2182
"Northern Territory",2020-04-01,19
"Queensland",2020-04-01,781
"South Australia",2020-04-01,367
"Tasmania",2020-04-01,69
"Victoria",2020-04-01,968
"Western Australia",2020-04-01,392
"Australian Capital Territory",2020-04-02,87
"New South Wales",2020-04-02,2298
"Northern Territory",2020-04-02,21
"Queensland",2020-04-02,835
"South Australia",2020-04-02,367
"Tasmania",2020-04-02,72
"Victoria",2020-04-02,1036
"Western Australia",2020-04-02,400
"Australian Capital Territory",2020-04-03,91
"New South Wales",2020-04-03,2389
"Northern Territory",2020-04-03,22
"Queensland",2020-04-03,873
"South Australia",2020-04-03,396
"Tasmania",2020-04-03,74
"Victoria",2020-04-03,1085
"Western Australia",2020-04-03,400
"Australian Capital Territory",2020-04-04,93
"New South Wales",2020-04-04,2493
"Northern Territory",2020-04-04,26
"Queensland",2020-04-04,900
"South Australia",2020-04-04,407
"Tasmania",2020-04-04,80
"Victoria",2020-04-04,1115
"Western Australia",2020-04-04,436
"Australian Capital Territory",2020-04-05,96
"New South Wales",2020-04-05,2580
"Northern Territory",2020-04-05,27
"Queensland",2020-04-05,907
"South Australia",2020-04-05,407
"Tasmania",2020-04-05,82
"Victoria",2020-04-05,1135
"Western Australia",2020-04-05,453
"Australian Capital Territory",2020-04-06,96
"New South Wales",2020-04-06,2637
"Northern Territory",2020-04-06,28
"Queensland",2020-04-06,921
"South Australia",2020-04-06,411
"Tasmania",2020-04-06,86
"Victoria",2020-04-06,1158
"Western Australia",2020-04-06,460
"Australian Capital Territory",2020-04-07,96
"New South Wales",2020-04-07,2686
"Northern Territory",2020-04-07,28
"Queensland",2020-04-07,934
"South Australia",2020-04-07,411
"Tasmania",2020-04-07,89
"Victoria",2020-04-07,1191
"Western Australia",2020-04-07,460
"Australian Capital Territory",2020-04-08,99
"New South Wales",2020-04-08,2734
"Northern Territory",2020-04-08,28
"Queensland",2020-04-08,943
"South Australia",2020-04-08,415
"Tasmania",2020-04-08,98
"Victoria",2020-04-08,1212
"Western Australia",2020-04-08,481
"Australian Capital Territory",2020-04-09,100
"New South Wales",2020-04-09,2773
"Northern Territory",2020-04-09,28
"Queensland",2020-04-09,953
"South Australia",2020-04-09,420
"Tasmania",2020-04-09,111
"Victoria",2020-04-09,1228
"Western Australia",2020-04-09,495
"Australian Capital Territory",2020-04-10,103
"New South Wales",2020-04-10,2822
"Northern Territory",2020-04-10,28
"Queensland",2020-04-10,965
"South Australia",2020-04-10,428
"Tasmania",2020-04-10,122
"Victoria",2020-04-10,1241
"Western Australia",2020-04-10,506
"Australian Capital Territory",2020-04-11,103
"New South Wales",2020-04-11,2857
"Northern Territory",2020-04-11,28
"Queensland",2020-04-11,974
"South Australia",2020-04-11,429
"Tasmania",2020-04-11,133
"Victoria",2020-04-11,1265
"Western Australia",2020-04-11,514
"Australian Capital Territory",2020-04-12,103
"New South Wales",2020-04-12,2857
"Northern Territory",2020-04-12,28
"Queensland",2020-04-12,983
"South Australia",2020-04-12,429
"Tasmania",2020-04-12,133
"Victoria",2020-04-12,1268
"Western Australia",2020-04-12,514
"Australian Capital Territory",2020-04-13,102
"New South Wales",2020-04-13,2863
"Northern Territory",2020-04-13,28
"Queensland",2020-04-13,987
"South Australia",2020-04-13,429
"Tasmania",2020-04-13,144
"Victoria",2020-04-13,1281
"Western Australia",2020-04-13,517
"Australian Capital Territory",2020-04-14,103
"New South Wales",2020-04-14,2870
"Northern Territory",2020-04-14,28
"Queensland",2020-04-14,998
"South Australia",2020-04-14,433
"Tasmania",2020-04-14,165
"Victoria",2020-04-14,1291
"Western Australia",2020-04-14,527
"Australian Capital Territory",2020-04-15,103
"New South Wales",2020-04-15,2886
"Northern Territory",2020-04-15,28
"Queensland",2020-04-15,999
"South Australia",2020-04-15,433
"Tasmania",2020-04-15,165
"Victoria",2020-04-15,1299
"Western Australia",2020-04-15,527
"Australian Capital Territory",2020-04-16,103
"New South Wales",2020-04-16,2897
"Northern Territory",2020-04-16,28
"Queensland",2020-04-16,1001
"South Australia",2020-04-16,433
"Tasmania",2020-04-16,169
"Victoria",2020-04-16,1299
"Western Australia",2020-04-16,532
"Australian Capital Territory",2020-04-17,103
"New South Wales",2020-04-17,2926
"Northern Territory",2020-04-17,28
"Queensland",2020-04-17,1007
"South Australia",2020-04-17,435
"Tasmania",2020-04-17,180
"Victoria",2020-04-17,1302
"Western Australia",2020-04-17,541
"Australian Capital Territory",2020-04-18,103
"New South Wales",2020-04-18,2936
"Northern Territory",2020-04-18,28
"Queensland",2020-04-18,1015
"South Australia",2020-04-18,435
"Tasmania",2020-04-18,188
"Victoria",2020-04-18,1319
"Western Australia",2020-04-18,544
"Australian Capital Territory",2020-04-19,103
"New South Wales",2020-04-19,2957
"Northern Territory",2020-04-19,28
"Queensland",2020-04-19,1019
"South Australia",2020-04-19,435
"Tasmania",2020-04-19,195
"Victoria",2020-04-19,1328
"Western Australia",2020-04-19,545
"Australian Capital Territory",2020-04-20,104
"New South Wales",2020-04-20,2963
"Northern Territory",2020-04-20,28
"Queensland",2020-04-20,1019
"South Australia",2020-04-20,435
"Tasmania",2020-04-20,200
"Victoria",2020-04-20,1329
"Western Australia",2020-04-20,545
"Australian Capital Territory",2020-04-21,104
"New South Wales",2020-04-21,2969
"Northern Territory",2020-04-21,28
"Queensland",2020-04-21,1024
"South Australia",2020-04-21,437
"Tasmania",2020-04-21,201
"Victoria",2020-04-21,1336
"Western Australia",2020-04-21,546
"Australian Capital Territory",2020-04-22,104
"New South Wales",2020-04-22,2971
"Northern Territory",2020-04-22,28
"Queensland",2020-04-22,1024
"South Australia",2020-04-22,438
"Tasmania",2020-04-22,205
"Victoria",2020-04-22,1336
"Western Australia",2020-04-22,546
"Australian Capital Territory",2020-04-23,104
"New South Wales",2020-04-23,2976
"Northern Territory",2020-04-23,28
"Queensland",2020-04-23,1026
"South Australia",2020-04-23,438
"Tasmania",2020-04-23,207
"Victoria",2020-04-23,1337
"Western Australia",2020-04-23,546
"Australian Capital Territory",2020-04-24,105
"New South Wales",2020-04-24,2982
"Northern Territory",2020-04-24,28
"Queensland",2020-04-24,1026
"South Australia",2020-04-24,438
"Tasmania",2020-04-24,207
"Victoria",2020-04-24,1343
"Western Australia",2020-04-24,548
"Australian Capital Territory",2020-04-25,106
"New South Wales",2020-04-25,2994
"Northern Territory",2020-04-25,28
"Queensland",2020-04-25,1026
"South Australia",2020-04-25,438
"Tasmania",2020-04-25,207
"Victoria",2020-04-25,1346
"Western Australia",2020-04-25,549
"Australian Capital Territory",2020-04-26,106
"New South Wales",2020-04-26,3002
"Northern Territory",2020-04-26,28
"Queensland",2020-04-26,1030
"South Australia",2020-04-26,438
"Tasmania",2020-04-26,212
"Victoria",2020-04-26,1349
"Western Australia",2020-04-26,549
"Australian Capital Territory",2020-04-27,106
"New South Wales",2020-04-27,3004
"Northern Territory",2020-04-27,28
"Queensland",2020-04-27,1033
"South Australia",2020-04-27,438
"Tasmania",2020-04-27,214
"Victoria",2020-04-27,1349
"Western Australia",2020-04-27,549
"Australian Capital Territory",2020-04-28,106
"New South Wales",2020-04-28,3016
