"date","regionname","cases"
2020-12-21,"Scotland",1504
2020-12-20,"Scotland",934
2020-12-19,"Scotland",572
2020-12-18,"Scotland",744
2020-12-17,"Scotland",858
2020-12-16,"Scotland",689
2020-12-15,"Scotland",845
2020-12-14,"Scotland",734
2020-12-13,"Scotland",800
2020-12-12,"Scotland",1064
2020-12-11,"Scotland",1001
2020-12-10,"Scotland",933
2020-12-09,"Scotland",897
2020-12-08,"Scotland",692
2020-12-07,"Scotland",677
2020-12-06,"Scotland",643
2020-12-05,"Scotland",777
2020-12-04,"Scotland",966
2020-12-03,"Scotland",958
2020-12-02,"Scotland",951
2020-12-01,"Scotland",754
2020-11-30,"Scotland",369
2020-11-29,"Scotland",746
2020-11-28,"Scotland",788
2020-11-27,"Scotland",969
2020-11-26,"Scotland",1225
2020-11-25,"Scotland",880
2020-11-24,"Scotland",771
2020-11-23,"Scotland",949
2020-11-22,"Scotland",844
2020-11-21,"Scotland",887
2020-11-20,"Scotland",1018
2020-11-19,"Scotland",1089
2020-11-18,"Scotland",1264
2020-11-17,"Scotland",1248
2020-11-16,"Scotland",717
2020-11-15,"Scotland",1159
2020-11-14,"Scotland",1118
2020-11-13,"Scotland",1357
2020-11-12,"Scotland",1212
2020-11-11,"Scotland",1261
2020-11-10,"Scotland",832
2020-11-09,"Scotland",912
2020-11-08,"Scotland",1115
2020-11-07,"Scotland",1596
2020-11-06,"Scotland",1072
2020-11-05,"Scotland",1216
2020-11-04,"Scotland",1433
2020-11-03,"Scotland",999
2020-11-02,"Scotland",951
2020-11-01,"Scotland",1148
2020-10-31,"Scotland",1101
2020-10-30,"Scotland",1281
2020-10-29,"Scotland",1128
2020-10-28,"Scotland",1202
2020-10-27,"Scotland",1327
2020-10-26,"Scotland",1122
2020-10-25,"Scotland",1303
2020-10-24,"Scotland",1433
2020-10-23,"Scotland",1401
2020-10-22,"Scotland",1712
2020-10-21,"Scotland",1739
2020-10-20,"Scotland",1456
2020-10-19,"Scotland",993
2020-10-18,"Scotland",316
2020-10-17,"Scotland",1167
2020-10-16,"Scotland",1196
2020-10-15,"Scotland",1351
2020-10-14,"Scotland",1429
2020-10-13,"Scotland",1297
2020-10-12,"Scotland",961
2020-10-11,"Scotland",956
2020-10-10,"Scotland",1009
2020-10-09,"Scotland",1246
2020-10-08,"Scotland",1027
2020-10-07,"Scotland",1054
2020-10-06,"Scotland",800
2020-10-05,"Scotland",697
2020-10-04,"Scotland",758
