"date","regionname","cases"
2021-01-25,"East Malaysia",468
2021-01-25,"West Malaysia",2580
2021-01-26,"East Malaysia",509
2021-01-26,"West Malaysia",3076
2021-01-27,"East Malaysia",366
2021-01-27,"West Malaysia",3314
2021-01-28,"East Malaysia",508
2021-01-28,"West Malaysia",3586
2021-01-29,"East Malaysia",472
2021-01-29,"West Malaysia",5253
2021-01-30,"East Malaysia",483
2021-01-30,"West Malaysia",5245
2021-01-31,"East Malaysia",457
2021-01-31,"West Malaysia",4841
2021-02-01,"East Malaysia",388
2021-02-01,"West Malaysia",3826
2021-02-02,"East Malaysia",398
2021-02-02,"West Malaysia",3057
2021-02-03,"East Malaysia",359
2021-02-03,"West Malaysia",3925
2021-02-04,"East Malaysia",446
2021-02-04,"West Malaysia",4125
2021-02-05,"East Malaysia",381
2021-02-05,"West Malaysia",3010
2021-02-06,"East Malaysia",428
2021-02-06,"West Malaysia",3419
2021-02-07,"East Malaysia",379
2021-02-07,"West Malaysia",3352
2021-02-08,"East Malaysia",253
2021-02-08,"West Malaysia",2847
2021-02-09,"East Malaysia",301
2021-02-09,"West Malaysia",2463
2021-02-10,"East Malaysia",270
2021-02-10,"West Malaysia",3018
2021-02-11,"East Malaysia",340
2021-02-11,"West Malaysia",3044
2021-02-12,"East Malaysia",202
2021-02-12,"West Malaysia",3116
2021-02-13,"East Malaysia",255
2021-02-13,"West Malaysia",3244
2021-02-14,"East Malaysia",278
2021-02-14,"West Malaysia",2186
2021-02-15,"East Malaysia",343
2021-02-15,"West Malaysia",1833
2021-02-16,"East Malaysia",326
2021-02-16,"West Malaysia",2394
2021-02-17,"East Malaysia",295
2021-02-17,"West Malaysia",2703
2021-02-18,"East Malaysia",319
2021-02-18,"West Malaysia",2393
2021-02-19,"East Malaysia",301
2021-02-19,"West Malaysia",2635
2021-02-20,"East Malaysia",243
2021-02-20,"West Malaysia",2218
2021-02-21,"East Malaysia",273
2021-02-21,"West Malaysia",3024
2021-02-22,"East Malaysia",331
2021-02-22,"West Malaysia",1861
2021-02-23,"East Malaysia",233
2021-02-23,"West Malaysia",2235
2021-02-24,"East Malaysia",463
2021-02-24,"West Malaysia",3082
2021-02-25,"East Malaysia",316
2021-02-25,"West Malaysia",1608
2021-02-26,"East Malaysia",379
2021-02-26,"West Malaysia",1874
2021-02-27,"East Malaysia",412
2021-02-27,"West Malaysia",1952
2021-02-28,"East Malaysia",307
2021-02-28,"West Malaysia",2130
2021-03-01,"East Malaysia",324
2021-03-01,"West Malaysia",1504
2021-03-02,"East Malaysia",212
2021-03-02,"West Malaysia",1343
2021-03-03,"East Malaysia",234
2021-03-03,"West Malaysia",1511
2021-03-04,"East Malaysia",439
2021-03-04,"West Malaysia",1624
2021-03-05,"East Malaysia",349
2021-03-05,"West Malaysia",1805
2021-03-06,"East Malaysia",296
2021-03-06,"West Malaysia",1384
